Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
image46.jpg,1,1502.813112745098,1740.883260284506,1487.4142156862745,1763.899515570934,0.23421801173772094,0.19438932146235288,0.23592565765610168,0.1932430863734515,24.872395833333336,27.970811226451367,25.069638480392157,27.647612456747396,5.783021542572378,5.859787004717442,5.767673549537293,5.873086646879508,0.006712740817834487,0.005870014150355622,0.006578969284462406,0.006041266179674481,0.0819313176864286,0.07661601758350288,0.08111084566482096,0.07772558253030003,0.8701945220182605,0.8494175111708877,0.8713036589940869,0.8474296672090844
image47.jpg,1,969.9712622549023,1022.1197078046907,906.9632965686275,1192.1028373702422,0.2223793330121075,0.1883084098116209,0.22734294547541917,0.18524201330782547,19.8405637254902,21.711956939638604,19.655729166666667,22.143683198769708,6.01412461876784,6.077544578360244,5.996178092177713,6.105251621973224,0.004347634379655662,0.003829143524338746,0.004292244799363526,0.003931377766898574,0.06593659363096992,0.06188007372602869,0.06551522570642282,0.06270069989161663,0.9136653090070767,0.9089457201278283,0.9192737797753713,0.893805040806369
image48.jpg,1,1723.8591758578434,1889.4791234140716,1788.6973651960784,1950.2430296039986,0.12514379937594763,0.10723112332952055,0.11720674065454514,0.10202942689800908,27.900903799019606,30.199123414071515,28.587622549019606,30.251180315263365,7.0658121363963,7.119218172863857,7.098127884228264,7.149756712856348,0.0013212422946928465,0.0011946233674357937,0.0012867412398476546,0.0012101093226941813,0.03634889674657054,0.03456332402179793,0.03587117561284624,0.03478662562960342,0.8421687647563867,0.8266965921304976,0.835776763857827,0.8211178207181329
image49.jpg,1,1586.4309283088235,1757.9763168012307,1643.580744485294,1841.896747404844,0.14363141466319543,0.11680758797855646,0.13388616921935587,0.11272902477838218,26.29045649509804,28.723414071510966,26.867264093137255,28.90168396770473,7.055660563531004,7.119672952912801,7.082774326345398,7.147765475466888,0.001442896906388168,0.0012786538640906608,0.0014221135087766725,0.0012970968342256202,0.037985482837370486,0.03575826986992884,0.037710920285464695,0.03601523058687283,0.855320897683415,0.8394249497263898,0.8497567266019244,0.8317576910884371
image5.jpg,1,2336.499586397059,3120.1040061514805,2652.58599877451,3001.9095424836596,0.26034685065993335,0.20749736598851354,0.2554968132765728,0.20684244164369145,32.63779105392157,37.98995770857363,33.63704044117647,37.39863129565552,5.427143660851297,5.606009046923097,5.508565155135322,5.590045341856629,0.008573870396714907,0.007668304193770443,0.00878630348097036,0.007682697616818775,0.09259519640194575,0.08756885401654199,0.09373528407686382,0.08765099894934898,0.7948532865178859,0.7260033998659372,0.767256227914932,0.7363811051323856
image50.jpg,1,1853.2759957107849,2007.6331257208765,1922.4649662990198,2198.5978777393316,0.1422028645471378,0.12552178617350646,0.13986992213699245,0.12123523716536999,29.589537377450984,31.49118031526336,29.827588848039216,32.58249903883122,6.481506048583193,6.518646763519944,6.495080879373102,6.5708157700361705,0.0026577840920183958,0.0024709376114619504,0.0026655843192822473,0.00243947755580359,0.05155370105063647,0.04970852654688077,0.051629297102345366,0.04939106757100508,0.8310351322043509,0.8167386703345462,0.8245403020164144,0.7993084137084456
image51.jpg,1,537.0434283088236,670.3556170703575,466.1663756127451,519.2578854286812,0.24053476609299212,0.20422736027740093,0.26206915990744795,0.21176774847919477,14.596124387254905,16.308527489427142,13.909329044117646,15.501853133410226,5.926441900176385,6.015839631842117,5.89312178825552,5.989377227227301,0.004325919380466649,0.003913793189588898,0.0044669283082603446,0.0039226716841081295,0.06577172173865185,0.06256031641215458,0.06683508291504055,0.06263123569041353,0.951449146122752,0.9394594343696121,0.9580287777749292,0.9531047791698977
image52.jpg,1,3007.2769761029413,3294.8946251441753,2890.8085937499995,3118.222237600923,0.10956271363694274,0.09185274714542348,0.10450879599840904,0.09486933232966105,38.843091299019605,41.4243291041907,38.090609681372555,40.33880815071127,6.836293691715177,6.917359868840985,6.861959179115445,6.884570119294274,0.0017372757304131826,0.0016288760082664208,0.001757337195467188,0.001660603313929624,0.041680639755325044,0.04035933607316182,0.04192060585758736,0.040750500781335484,0.726485885209404,0.7006007057850697,0.7378299539041636,0.71664819555681
image53.jpg,1,899.5395220588235,1124.1707189542483,1036.179074754902,1092.5483429450214,0.19146124603679654,0.15647570392251683,0.1766086389714693,0.16058729914647468,20.36265318627451,22.782422145328713,21.44739583333334,22.548773548635143,6.277460203823759,6.395242036048633,6.342919514089624,6.383272496132939,0.0029113321329987266,0.0026259357556412577,0.0028194058193513317,0.0026432258849367527,0.05395676169859276,0.05124388505608506,0.053098077360214574,0.05141231258110019,0.9166646949853605,0.895769671386623,0.9041059889398912,0.8986989337311273
image54.jpg,1,1725.2409926470586,2102.7320876585927,1737.119362745098,1723.4265897731643,0.17847718913743107,0.13553466070350256,0.19409235368482286,0.15625050313972705,27.02325367647059,30.878769703960014,27.046507352941177,28.54742022299116,6.534826675408502,6.657427202016594,6.53288557574087,6.548928992178935,0.0025547408617629034,0.0021439005877282877,0.0025857360910241855,0.0022284727977779236,0.05054444442036042,0.046302274109683725,0.05085013363821363,0.04720670289035153,0.8434715842796553,0.8092226733955378,0.8427228372999688,0.8436363349391536
image55.jpg,1,1577.7532015931372,1815.1224759707807,1415.5009037990196,1645.2342637447136,0.16127777268753937,0.1276868300893327,0.18599502064143464,0.14163916672859073,27.021522671568626,29.63707804690504,25.31564031862745,28.59509419454056,6.535906196135162,6.628382368823754,6.486839781348011,6.5570067426897705,0.0026734572912536637,0.002364923200360196,0.0028885509545231998,0.002405557262821903,0.05170548608468606,0.04863047604496789,0.05374524122676537,0.04904648063645243,0.8520482447557923,0.8296396625793713,0.8673516918161129,0.8455831129553204
